"data_usage_mb","call_duration_min","plan_type","dropped_calls","app_frequency","app_category","device_type","region_x","age","gender","arpu","tenure_months","amount","payment_mode","recharge_channel","successful","price","validity_days","data_limit_gb","sms_limit","plan_category","promo_offer","latitude","longitude","network_type","signal_strength_dbm","outage_flag","monthly_data_gb","monthly_calls_min","usage_category","Complaint_flag_num"
2669,42.8132664584296,"Postpaid",3,34,"Social","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
1151,11.392938800323844,"Basic",3,30,"Utility","iOS","Hyderabad",45,"Female",445,56,499,"Wallet","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",40.969779128726245,117.73948397892774,"High",0
1584,10.673925700422036,"Basic",0,32,"Streaming","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",40.21758863078878,124.38639325313514,"High",1
2693,7.536181126884688,"Postpaid",1,45,"Social","Android","Hyderabad",31,"Female",278,42,799,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",22.524539840552467,962.7644595818984,"Medium",0
500,33.313302990309964,"Postpaid",4,34,"Gaming","Android","Bangalore",33,"Female",874,22,399,"Wallet","Retail Store","Yes",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",12.35559039915135,687.4714970666872,"Medium",1
2837,26.654782791893133,"Postpaid",0,33,"Social","iOS","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",52.37114260207894,538.6880784245623,"High",0
727,5.6180184947871,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408348186,226.9736638999422,"High",1
1815,3.6698935804651978,"Unlimited",2,37,"Gaming","Android","Bangalore",26,"Male",366,47,299,"Cash","App","Yes",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",23.05743430731525,130.8052997384762,"Medium",1
1135,43.22420351853739,"Premium",3,24,"Utility","Feature","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.88926370363833,160.4578599241391,"High",1
1226,5.669940994732023,"Basic",4,32,"Shopping","iOS","Bangalore",26,"Male",366,47,799,"Card","Retail Store","Yes",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",23.05743430731525,130.8052997384762,"Medium",1
1350,31.902678293585844,"Basic",0,18,"Gaming","iOS","Chennai",37,"Female",962,39,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",28.7,77.1,"4G",-81,"Yes",30.88926370363833,160.4578599241391,"High",1
1508,11.801211989303493,"Postpaid",0,13,"Utility","Feature","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",40.969779128726245,117.73948397892774,"High",0
334,32.350753806783864,"Prepaid",3,9,"Utility","Android","Chennai",43,"Female",306,13,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",9.672020245269165,910.5150711127473,"Low",1
1795,25.774402830067103,"Prepaid",3,11,"Gaming","iOS","Bangalore",33,"Female",874,22,799,"Card","Website","No",299,28,10,300,"Standard","15% Off",12.9,77.5,"4G",-57,"No",12.35559039915135,687.4714970666872,"Medium",1
1181,5.373624397717436,"Premium",4,26,"Shopping","Feature","Bangalore",26,"Male",366,47,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",23.05743430731525,130.8052997384762,"Medium",1
2544,11.227332147460087,"Postpaid",1,35,"Social","Android","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",52.37114260207894,538.6880784245623,"High",0
179,24.691147690710896,"Premium",2,37,"Streaming","iOS","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.88926370363833,160.4578599241391,"High",1
950,23.20010328418761,"Postpaid",4,5,"Utility","Android","Mumbai",26,"Female",190,14,299,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",16.95748575512573,225.4204666655417,"Medium",1
1380,5.634231330269323,"Unlimited",2,15,"Shopping","Feature","Chennai",34,"Male",797,40,399,"UPI","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",19,72.8,"5G",-72,"No",36.98282234905052,320.81419871318883,"High",1
897,29.739444567314287,"Premium",0,5,"Social","iOS","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",6.959494789559148,287.0976296314246,"Low",1
492,32.55850425648886,"Unlimited",1,42,"Streaming","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",40.21758863078878,124.38639325313514,"High",1
1540,30.013845189884883,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,499,"Card","Website","Yes",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.37114260207894,538.6880784245623,"High",0
1782,33.2160941914203,"Unlimited",2,20,"Shopping","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",56.77576408348186,226.9736638999422,"High",1
1028,19.681888997504007,"Postpaid",4,28,"Gaming","iOS","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",50.12502461501769,285.7791445845429,"High",1
813,26.250498956809963,"Prepaid",0,39,"Utility","Android","Chennai",34,"Male",797,40,799,"Card","Retail Store","Yes",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",36.98282234905052,320.81419871318883,"High",1
1540,30.013845189884883,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,499,"Card","Website","Yes",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.37114260207894,538.6880784245623,"High",0
